Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.39.467,X=420673.559 Y=369012.198 Z=2403.181,X=-0.182 Y=-0.785 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420436.540 Y=367846.749 Z=3228.622,
2023.10.14-15.48.39.514,X=420673.644 Y=369012.157 Z=2403.186,X=-0.179 Y=-0.784 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420441.326 Y=367847.246 Z=3230.751,
2023.10.14-15.48.39.563,X=420673.712 Y=369012.136 Z=2403.200,X=-0.176 Y=-0.784 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420445.792 Y=367847.707 Z=3232.725,
2023.10.14-15.48.39.610,X=420673.742 Y=369012.107 Z=2403.196,X=-0.175 Y=-0.784 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420446.689 Y=367848.655 Z=3231.916,
2023.10.14-15.48.39.659,X=420673.777 Y=369012.105 Z=2403.194,X=-0.177 Y=-0.783 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420443.580 Y=367848.147 Z=3234.613,
2023.10.14-15.48.39.708,X=420673.777 Y=369012.113 Z=2403.182,X=-0.180 Y=-0.778 Z=0.601,X=0.000 Y=0.000 Z=0.000,1.0,X=420438.308 Y=367850.395 Z=3244.250,
2023.10.14-15.48.39.755,X=420673.773 Y=369012.127 Z=2403.185,X=-0.182 Y=-0.776 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420434.869 Y=367851.595 Z=3249.395,
2023.10.14-15.48.39.806,X=420673.775 Y=369012.143 Z=2403.162,X=-0.184 Y=-0.774 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420431.757 Y=367852.628 Z=3253.819,
2023.10.14-15.48.39.851,X=420673.760 Y=369012.161 Z=2403.163,X=-0.186 Y=-0.772 Z=0.608,X=0.000 Y=0.000 Z=0.000,1.0,X=420428.882 Y=367853.478 Z=3257.465,
2023.10.14-15.48.39.898,X=420673.740 Y=369012.178 Z=2403.164,X=-0.187 Y=-0.770 Z=0.610,X=0.000 Y=0.000 Z=0.000,1.0,X=420426.996 Y=367854.517 Z=3261.919,
2023.10.14-15.48.39.946,X=420673.704 Y=369012.191 Z=2403.166,X=-0.189 Y=-0.769 Z=0.611,X=0.000 Y=0.000 Z=0.000,1.0,X=420423.558 Y=367855.238 Z=3265.007,
2023.10.14-15.48.39.993,X=420673.663 Y=369012.203 Z=2403.168,X=-0.191 Y=-0.769 Z=0.610,X=0.000 Y=0.000 Z=0.000,1.0,X=420420.378 Y=367854.806 Z=3263.157,
2023.10.14-15.48.40.037,X=420673.636 Y=369012.232 Z=2403.171,X=-0.194 Y=-0.769 Z=0.609,X=0.000 Y=0.000 Z=0.000,1.0,X=420417.376 Y=367854.474 Z=3261.734,
2023.10.14-15.48.40.086,X=420673.597 Y=369012.259 Z=2403.170,X=-0.194 Y=-0.769 Z=0.609,X=0.000 Y=0.000 Z=0.000,1.0,X=420416.586 Y=367855.770 Z=3261.577,
2023.10.14-15.48.40.133,X=420673.560 Y=369012.294 Z=2403.173,X=-0.195 Y=-0.769 Z=0.609,X=0.000 Y=0.000 Z=0.000,1.0,X=420414.699 Y=367854.573 Z=3262.159,
2023.10.14-15.48.40.183,X=420673.497 Y=369012.339 Z=2403.176,X=-0.199 Y=-0.766 Z=0.611,X=0.000 Y=0.000 Z=0.000,1.0,X=420409.032 Y=367855.676 Z=3266.885,
2023.10.14-15.48.40.233,X=420673.465 Y=369012.377 Z=2403.176,X=-0.200 Y=-0.764 Z=0.613,X=0.000 Y=0.000 Z=0.000,1.0,X=420407.296 Y=367856.871 Z=3272.008,
2023.10.14-15.48.40.282,X=420673.435 Y=369012.381 Z=2403.182,X=-0.199 Y=-0.763 Z=0.614,X=0.000 Y=0.000 Z=0.000,1.0,X=420408.064 Y=367857.341 Z=3274.022,
2023.10.14-15.48.40.321,X=420673.429 Y=369012.382 Z=2403.179,X=-0.197 Y=-0.763 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420411.501 Y=367857.976 Z=3276.743,
2023.10.14-15.48.40.370,X=420673.426 Y=369012.395 Z=2403.188,X=-0.195 Y=-0.763 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420413.740 Y=367858.038 Z=3277.011,
2023.10.14-15.48.40.410,X=420673.414 Y=369012.416 Z=2403.188,X=-0.196 Y=-0.761 Z=0.618,X=0.000 Y=0.000 Z=0.000,1.0,X=420412.262 Y=367859.046 Z=3281.331,
2023.10.14-15.48.40.458,X=420673.408 Y=369012.460 Z=2403.193,X=-0.197 Y=-0.759 Z=0.621,X=0.000 Y=0.000 Z=0.000,1.0,X=420410.398 Y=367860.087 Z=3285.792,
2023.10.14-15.48.40.505,X=420673.398 Y=369012.515 Z=2403.189,X=-0.198 Y=-0.756 Z=0.623,X=0.000 Y=0.000 Z=0.000,1.0,X=420407.569 Y=367861.480 Z=3291.765,
2023.10.14-15.48.40.551,X=420673.390 Y=369012.559 Z=2403.192,X=-0.197 Y=-0.754 Z=0.626,X=0.000 Y=0.000 Z=0.000,1.0,X=420408.806 Y=367862.783 Z=3297.350,
2023.10.14-15.48.40.596,X=420673.385 Y=369012.595 Z=2403.205,X=-0.198 Y=-0.754 Z=0.626,X=0.000 Y=0.000 Z=0.000,1.0,X=420407.469 Y=367863.519 Z=3296.909,
2023.10.14-15.48.40.643,X=420673.388 Y=369012.621 Z=2403.205,X=-0.199 Y=-0.753 Z=0.628,X=0.000 Y=0.000 Z=0.000,1.0,X=420405.982 Y=367863.593 Z=3300.821,
2023.10.14-15.48.40.692,X=420673.383 Y=369012.646 Z=2403.216,X=-0.195 Y=-0.749 Z=0.633,X=0.000 Y=0.000 Z=0.000,1.0,X=420410.738 Y=367865.931 Z=3310.844,
2023.10.14-15.48.40.741,X=420673.369 Y=369012.677 Z=2403.214,X=-0.190 Y=-0.745 Z=0.640,X=0.000 Y=0.000 Z=0.000,1.0,X=420416.859 Y=367868.824 Z=3323.246,
2023.10.14-15.48.40.781,X=420673.373 Y=369012.720 Z=2403.234,X=-0.189 Y=-0.743 Z=0.642,X=0.000 Y=0.000 Z=0.000,1.0,X=420418.928 Y=367869.739 Z=3327.167,
2023.10.14-15.48.40.831,X=420673.372 Y=369012.755 Z=2403.228,X=-0.187 Y=-0.739 Z=0.647,X=0.000 Y=0.000 Z=0.000,1.0,X=420420.223 Y=367872.165 Z=3337.564,
2023.10.14-15.48.40.875,X=420673.362 Y=369012.798 Z=2403.245,X=-0.185 Y=-0.738 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420422.408 Y=367872.895 Z=3340.694,
2023.10.14-15.48.40.917,X=420673.356 Y=369012.810 Z=2403.247,X=-0.172 Y=-0.742 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420443.307 Y=367871.594 Z=3335.119,
2023.10.14-15.48.40.957,X=420673.360 Y=369012.824 Z=2403.239,X=-0.131 Y=-0.750 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420503.771 Y=367869.859 Z=3327.682,
2023.10.14-15.48.41.005,X=420673.409 Y=369012.832 Z=2403.256,X=-0.116 Y=-0.756 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420525.361 Y=367867.170 Z=3316.156,
2023.10.14-15.48.41.054,X=420673.538 Y=369012.829 Z=2403.263,X=-0.104 Y=-0.760 Z=0.642,X=0.000 Y=0.000 Z=0.000,1.0,X=420543.171 Y=367865.902 Z=3310.722,
2023.10.14-15.48.41.102,X=420673.754 Y=369012.821 Z=2403.272,X=-0.083 Y=-0.765 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420573.877 Y=367863.498 Z=3300.416,
2023.10.14-15.48.41.150,X=420673.976 Y=369012.810 Z=2403.280,X=-0.093 Y=-0.738 Z=0.669,X=0.000 Y=0.000 Z=0.000,1.0,X=420556.827 Y=367878.512 Z=3364.770,
2023.10.14-15.48.41.201,X=420674.153 Y=369012.811 Z=2403.277,X=-0.098 Y=-0.807 Z=0.582,X=0.000 Y=0.000 Z=0.000,1.0,X=420557.098 Y=367839.379 Z=3197.028,
2023.10.14-15.48.41.249,X=420674.295 Y=369012.805 Z=2403.282,X=-0.087 Y=-0.796 Z=0.600,X=0.000 Y=0.000 Z=0.000,1.0,X=420570.955 Y=367846.413 Z=3227.182,
2023.10.14-15.48.41.296,X=420674.420 Y=369012.779 Z=2403.273,X=-0.082 Y=-0.784 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420576.452 Y=367852.854 Z=3254.787,
2023.10.14-15.48.41.343,X=420674.483 Y=369012.769 Z=2403.265,X=-0.083 Y=-0.776 Z=0.626,X=0.000 Y=0.000 Z=0.000,1.0,X=420575.463 Y=367857.833 Z=3276.133,
2023.10.14-15.48.41.390,X=420674.523 Y=369012.759 Z=2403.260,X=-0.085 Y=-0.768 Z=0.635,X=0.000 Y=0.000 Z=0.000,1.0,X=420570.967 Y=367862.058 Z=3294.243,
2023.10.14-15.48.41.436,X=420674.558 Y=369012.737 Z=2403.241,X=-0.084 Y=-0.759 Z=0.646,X=0.000 Y=0.000 Z=0.000,1.0,X=420572.496 Y=367867.018 Z=3315.505,
2023.10.14-15.48.41.484,X=420674.615 Y=369012.717 Z=2403.233,X=-0.047 Y=-0.755 Z=0.654,X=0.000 Y=0.000 Z=0.000,1.0,X=420623.541 Y=367870.085 Z=3328.648,
2023.10.14-15.48.41.530,X=420674.658 Y=369012.687 Z=2403.222,X=-0.041 Y=-0.753 Z=0.657,X=0.000 Y=0.000 Z=0.000,1.0,X=420632.585 Y=367871.583 Z=3335.070,
2023.10.14-15.48.41.577,X=420674.704 Y=369012.663 Z=2403.209,X=-0.036 Y=-0.752 Z=0.659,X=0.000 Y=0.000 Z=0.000,1.0,X=420639.828 Y=367872.337 Z=3338.305,
2023.10.14-15.48.41.625,X=420674.727 Y=369012.639 Z=2403.206,X=-0.034 Y=-0.752 Z=0.658,X=0.000 Y=0.000 Z=0.000,1.0,X=420642.566 Y=367872.262 Z=3337.982,
2023.10.14-15.48.41.672,X=420674.754 Y=369012.612 Z=2403.199,X=-0.032 Y=-0.751 Z=0.659,X=0.000 Y=0.000 Z=0.000,1.0,X=420645.773 Y=367872.675 Z=3339.752,
2023.10.14-15.48.41.719,X=420674.777 Y=369012.587 Z=2403.196,X=-0.030 Y=-0.749 Z=0.662,X=0.000 Y=0.000 Z=0.000,1.0,X=420648.472 Y=367873.744 Z=3344.333,
2023.10.14-15.48.41.767,X=420674.804 Y=369012.565 Z=2403.216,X=-0.030 Y=-0.749 Z=0.662,X=0.000 Y=0.000 Z=0.000,1.0,X=420648.057 Y=367874.128 Z=3345.978,
2023.10.14-15.48.41.812,X=420674.819 Y=369012.524 Z=2403.208,X=-0.027 Y=-0.747 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420651.458 Y=367875.232 Z=3350.712,
2023.10.14-15.48.41.860,X=420674.832 Y=369012.472 Z=2403.206,X=-0.027 Y=-0.746 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420651.762 Y=367876.688 Z=3350.493,
2023.10.14-15.48.41.907,X=420674.864 Y=369012.446 Z=2403.214,X=-0.025 Y=-0.745 Z=0.666,X=0.000 Y=0.000 Z=0.000,1.0,X=420654.824 Y=367876.102 Z=3354.440,
2023.10.14-15.48.41.955,X=420674.903 Y=369012.408 Z=2403.208,X=-0.022 Y=-0.744 Z=0.668,X=0.000 Y=0.000 Z=0.000,1.0,X=420658.682 Y=367877.007 Z=3358.319,
2023.10.14-15.48.42.004,X=420674.947 Y=369012.395 Z=2403.215,X=-0.022 Y=-0.745 Z=0.667,X=0.000 Y=0.000 Z=0.000,1.0,X=420659.069 Y=367876.134 Z=3354.580,
2023.10.14-15.48.42.052,X=420674.962 Y=369012.375 Z=2403.215,X=-0.023 Y=-0.745 Z=0.667,X=0.000 Y=0.000 Z=0.000,1.0,X=420658.186 Y=367877.391 Z=3354.573,
2023.10.14-15.48.42.098,X=420674.985 Y=369012.361 Z=2403.213,X=-0.024 Y=-0.745 Z=0.666,X=0.000 Y=0.000 Z=0.000,1.0,X=420656.279 Y=367875.967 Z=3353.861,
2023.10.14-15.48.42.142,X=420675.014 Y=369012.356 Z=2403.218,X=-0.024 Y=-0.746 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420655.900 Y=367875.352 Z=3351.225,
2023.10.14-15.48.42.191,X=420675.042 Y=369012.344 Z=2403.224,X=-0.023 Y=-0.747 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420657.475 Y=367875.559 Z=3350.887,
2023.10.14-15.48.42.237,X=420675.058 Y=369012.338 Z=2403.219,X=-0.024 Y=-0.745 Z=0.666,X=0.000 Y=0.000 Z=0.000,1.0,X=420656.318 Y=367876.065 Z=3354.281,
2023.10.14-15.48.42.283,X=420675.085 Y=369012.335 Z=2403.233,X=-0.024 Y=-0.745 Z=0.667,X=0.000 Y=0.000 Z=0.000,1.0,X=420655.923 Y=367877.335 Z=3354.981,
2023.10.14-15.48.42.329,X=420675.093 Y=369012.326 Z=2403.240,X=-0.025 Y=-0.744 Z=0.668,X=0.000 Y=0.000 Z=0.000,1.0,X=420655.179 Y=367876.780 Z=3357.349,
2023.10.14-15.48.42.375,X=420675.100 Y=369012.313 Z=2403.234,X=-0.025 Y=-0.747 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420655.463 Y=367875.300 Z=3351.002,
2023.10.14-15.48.42.423,X=420675.110 Y=369012.287 Z=2403.232,X=-0.025 Y=-0.750 Z=0.661,X=0.000 Y=0.000 Z=0.000,1.0,X=420654.961 Y=367873.604 Z=3343.733,
2023.10.14-15.48.42.469,X=420675.126 Y=369012.245 Z=2403.245,X=-0.025 Y=-0.753 Z=0.658,X=0.000 Y=0.000 Z=0.000,1.0,X=420654.896 Y=367871.989 Z=3336.812,
2023.10.14-15.48.42.516,X=420675.129 Y=369012.178 Z=2403.237,X=-0.026 Y=-0.755 Z=0.656,X=0.000 Y=0.000 Z=0.000,1.0,X=420654.125 Y=367870.808 Z=3331.747,
2023.10.14-15.48.42.564,X=420675.136 Y=369012.096 Z=2403.232,X=-0.026 Y=-0.759 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420653.894 Y=367868.536 Z=3322.012,
2023.10.14-15.48.42.610,X=420675.140 Y=369012.032 Z=2403.219,X=-0.025 Y=-0.762 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420654.878 Y=367866.944 Z=3315.184,
2023.10.14-15.48.42.659,X=420675.140 Y=369011.938 Z=2403.181,X=-0.027 Y=-0.765 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420653.091 Y=367865.063 Z=3307.125,
2023.10.14-15.48.42.708,X=420675.143 Y=369011.872 Z=2403.162,X=-0.032 Y=-0.782 Z=0.622,X=0.000 Y=0.000 Z=0.000,1.0,X=420646.382 Y=367855.466 Z=3265.986,
2023.10.14-15.48.42.751,X=420675.141 Y=369011.810 Z=2403.143,X=-0.038 Y=-0.807 Z=0.590,X=0.000 Y=0.000 Z=0.000,1.0,X=420638.677 Y=367841.399 Z=3205.689,
2023.10.14-15.48.42.801,X=420675.137 Y=369011.770 Z=2403.135,X=-0.039 Y=-0.811 Z=0.584,X=0.000 Y=0.000 Z=0.000,1.0,X=420638.115 Y=367839.056 Z=3195.645,
2023.10.14-15.48.42.847,X=420675.132 Y=369011.727 Z=2403.129,X=-0.040 Y=-0.814 Z=0.580,X=0.000 Y=0.000 Z=0.000,1.0,X=420635.976 Y=367837.366 Z=3188.399,
2023.10.14-15.48.42.896,X=420675.133 Y=369011.700 Z=2403.122,X=-0.041 Y=-0.815 Z=0.578,X=0.000 Y=0.000 Z=0.000,1.0,X=420635.369 Y=367836.532 Z=3184.827,
2023.10.14-15.48.42.944,X=420675.126 Y=369011.653 Z=2403.120,X=-0.042 Y=-0.817 Z=0.575,X=0.000 Y=0.000 Z=0.000,1.0,X=420633.347 Y=367835.586 Z=3180.772,
2023.10.14-15.48.42.993,X=420675.132 Y=369011.601 Z=2403.107,X=-0.044 Y=-0.818 Z=0.573,X=0.000 Y=0.000 Z=0.000,1.0,X=420631.750 Y=367834.636 Z=3176.698,
2023.10.14-15.48.43.037,X=420675.146 Y=369011.540 Z=2403.106,X=-0.044 Y=-0.820 Z=0.570,X=0.000 Y=0.000 Z=0.000,1.0,X=420631.045 Y=367833.393 Z=3171.372,
2023.10.14-15.48.43.086,X=420675.171 Y=369011.456 Z=2403.105,X=-0.044 Y=-0.823 Z=0.566,X=0.000 Y=0.000 Z=0.000,1.0,X=420631.127 Y=367831.663 Z=3163.953,
2023.10.14-15.48.43.133,X=420675.204 Y=369011.363 Z=2403.093,X=-0.043 Y=-0.824 Z=0.564,X=0.000 Y=0.000 Z=0.000,1.0,X=420632.887 Y=367831.124 Z=3161.646,
2023.10.14-15.48.43.183,X=420675.245 Y=369011.269 Z=2403.084,X=-0.042 Y=-0.825 Z=0.563,X=0.000 Y=0.000 Z=0.000,1.0,X=420634.373 Y=367830.605 Z=3159.421,
2023.10.14-15.48.43.231,X=420675.295 Y=369011.224 Z=2403.088,X=-0.042 Y=-0.826 Z=0.562,X=0.000 Y=0.000 Z=0.000,1.0,X=420634.732 Y=367830.884 Z=3157.991,
2023.10.14-15.48.43.278,X=420675.338 Y=369011.145 Z=2403.074,X=-0.041 Y=-0.824 Z=0.565,X=0.000 Y=0.000 Z=0.000,1.0,X=420635.860 Y=367831.448 Z=3163.031,
2023.10.14-15.48.43.327,X=420675.388 Y=369011.080 Z=2403.066,X=-0.041 Y=-0.824 Z=0.565,X=0.000 Y=0.000 Z=0.000,1.0,X=420635.307 Y=367832.588 Z=3162.214,
2023.10.14-15.48.43.371,X=420675.433 Y=369011.001 Z=2403.065,X=-0.042 Y=-0.823 Z=0.566,X=0.000 Y=0.000 Z=0.000,1.0,X=420634.114 Y=367831.925 Z=3165.078,
2023.10.14-15.48.43.419,X=420675.501 Y=369010.933 Z=2403.057,X=-0.042 Y=-0.822 Z=0.567,X=0.000 Y=0.000 Z=0.000,1.0,X=420634.266 Y=367832.350 Z=3166.899,
2023.10.14-15.48.43.467,X=420675.566 Y=369010.838 Z=2403.053,X=-0.041 Y=-0.822 Z=0.568,X=0.000 Y=0.000 Z=0.000,1.0,X=420635.282 Y=367833.438 Z=3167.314,
2023.10.14-15.48.43.511,X=420675.617 Y=369010.758 Z=2403.057,X=-0.040 Y=-0.819 Z=0.572,X=0.000 Y=0.000 Z=0.000,1.0,X=420637.122 Y=367834.232 Z=3174.969,
2023.10.14-15.48.43.558,X=420675.692 Y=369010.675 Z=2403.045,X=-0.039 Y=-0.819 Z=0.573,X=0.000 Y=0.000 Z=0.000,1.0,X=420638.136 Y=367835.390 Z=3174.836,
2023.10.14-15.48.43.599,X=420675.747 Y=369010.589 Z=2403.046,X=-0.039 Y=-0.819 Z=0.573,X=0.000 Y=0.000 Z=0.000,1.0,X=420638.423 Y=367836.842 Z=3175.073,
2023.10.14-15.48.43.647,X=420675.820 Y=369010.475 Z=2403.029,X=-0.039 Y=-0.818 Z=0.574,X=0.000 Y=0.000 Z=0.000,1.0,X=420638.195 Y=367835.124 Z=3178.789,
2023.10.14-15.48.43.691,X=420675.876 Y=369010.398 Z=2403.024,X=-0.038 Y=-0.817 Z=0.576,X=0.000 Y=0.000 Z=0.000,1.0,X=420639.847 Y=367835.545 Z=3180.597,
2023.10.14-15.48.43.739,X=420675.966 Y=369010.250 Z=2403.016,X=-0.037 Y=-0.817 Z=0.576,X=0.000 Y=0.000 Z=0.000,1.0,X=420640.763 Y=367836.713 Z=3180.186,
2023.10.14-15.48.43.784,X=420676.042 Y=369010.124 Z=2403.004,X=-0.037 Y=-0.817 Z=0.576,X=0.000 Y=0.000 Z=0.000,1.0,X=420640.931 Y=367838.074 Z=3179.582,
2023.10.14-15.48.43.833,X=420676.127 Y=369010.014 Z=2403.003,X=-0.031 Y=-0.821 Z=0.570,X=0.000 Y=0.000 Z=0.000,1.0,X=420648.339 Y=367833.116 Z=3170.184,
2023.10.14-15.48.43.875,X=420676.211 Y=369009.889 Z=2402.998,X=-0.024 Y=-0.819 Z=0.574,X=0.000 Y=0.000 Z=0.000,1.0,X=420658.666 Y=367834.802 Z=3177.410,
2023.10.14-15.48.43.923,X=420676.304 Y=369009.766 Z=2402.993,X=-0.017 Y=-0.815 Z=0.579,X=0.000 Y=0.000 Z=0.000,1.0,X=420667.760 Y=367836.838 Z=3186.140,
2023.10.14-15.48.43.967,X=420676.388 Y=369009.648 Z=2402.992,X=-0.013 Y=-0.815 Z=0.579,X=0.000 Y=0.000 Z=0.000,1.0,X=420672.799 Y=367836.715 Z=3185.611,
2023.10.14-15.48.44.014,X=420676.470 Y=369009.534 Z=2402.992,X=-0.009 Y=-0.815 Z=0.580,X=0.000 Y=0.000 Z=0.000,1.0,X=420678.284 Y=367837.185 Z=3187.625,
2023.10.14-15.48.44.063,X=420676.553 Y=369009.448 Z=2402.987,X=-0.006 Y=-0.815 Z=0.579,X=0.000 Y=0.000 Z=0.000,1.0,X=420682.032 Y=367836.890 Z=3186.360,
2023.10.14-15.48.44.111,X=420676.614 Y=369009.381 Z=2402.987,X=-0.004 Y=-0.815 Z=0.579,X=0.000 Y=0.000 Z=0.000,1.0,X=420684.721 Y=367836.951 Z=3186.621,
2023.10.14-15.48.44.158,X=420676.686 Y=369009.337 Z=2402.967,X=-0.004 Y=-0.815 Z=0.579,X=0.000 Y=0.000 Z=0.000,1.0,X=420685.672 Y=367837.900 Z=3185.868,
2023.10.14-15.48.44.206,X=420676.748 Y=369009.304 Z=2402.965,X=-0.002 Y=-0.814 Z=0.581,X=0.000 Y=0.000 Z=0.000,1.0,X=420688.122 Y=367837.615 Z=3189.467,
2023.10.14-15.48.44.253,X=420676.800 Y=369009.264 Z=2402.971,X=0.001 Y=-0.812 Z=0.584,X=0.000 Y=0.000 Z=0.000,1.0,X=420692.272 Y=367838.642 Z=3193.869,
2023.10.14-15.48.44.302,X=420676.879 Y=369009.235 Z=2402.962,X=0.004 Y=-0.810 Z=0.586,X=0.000 Y=0.000 Z=0.000,1.0,X=420695.483 Y=367839.628 Z=3198.096,
2023.10.14-15.48.44.348,X=420676.916 Y=369009.196 Z=2402.964,X=0.008 Y=-0.809 Z=0.587,X=0.000 Y=0.000 Z=0.000,1.0,X=420701.434 Y=367840.228 Z=3200.668,
2023.10.14-15.48.44.392,X=420676.959 Y=369009.152 Z=2402.965,X=0.012 Y=-0.808 Z=0.589,X=0.000 Y=0.000 Z=0.000,1.0,X=420707.211 Y=367840.973 Z=3203.862,
2023.10.14-15.48.44.440,X=420676.980 Y=369009.105 Z=2402.970,X=0.016 Y=-0.807 Z=0.590,X=0.000 Y=0.000 Z=0.000,1.0,X=420712.398 Y=367841.371 Z=3205.568,
2023.10.14-15.48.44.488,X=420677.002 Y=369009.070 Z=2402.970,X=0.017 Y=-0.808 Z=0.589,X=0.000 Y=0.000 Z=0.000,1.0,X=420713.376 Y=367840.991 Z=3203.938,
2023.10.14-15.48.44.535,X=420677.009 Y=369009.039 Z=2402.967,X=0.018 Y=-0.808 Z=0.589,X=0.000 Y=0.000 Z=0.000,1.0,X=420715.426 Y=367841.066 Z=3204.263,
2023.10.14-15.48.44.585,X=420677.013 Y=369009.017 Z=2402.968,X=0.020 Y=-0.807 Z=0.591,X=0.000 Y=0.000 Z=0.000,1.0,X=420717.432 Y=367841.627 Z=3206.664,
2023.10.14-15.48.44.632,X=420677.004 Y=369009.000 Z=2402.963,X=0.022 Y=-0.805 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420720.428 Y=367842.433 Z=3210.122,
2023.10.14-15.48.44.680,X=420676.994 Y=369008.985 Z=2402.956,X=0.022 Y=-0.804 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420721.051 Y=367842.859 Z=3211.948,
2023.10.14-15.48.44.727,X=420676.995 Y=369009.001 Z=2402.986,X=0.019 Y=-0.792 Z=0.610,X=0.000 Y=0.000 Z=0.000,1.0,X=420716.547 Y=367849.939 Z=3242.296,
2023.10.14-15.48.44.775,X=420676.965 Y=369009.002 Z=2402.977,X=0.017 Y=-0.780 Z=0.625,X=0.000 Y=0.000 Z=0.000,1.0,X=420714.735 Y=367856.614 Z=3270.909,
2023.10.14-15.48.44.823,X=420676.923 Y=369009.009 Z=2402.976,X=0.016 Y=-0.777 Z=0.629,X=0.000 Y=0.000 Z=0.000,1.0,X=420712.919 Y=367858.420 Z=3278.650,
2023.10.14-15.48.44.872,X=420676.883 Y=369009.035 Z=2402.969,X=0.015 Y=-0.774 Z=0.633,X=0.000 Y=0.000 Z=0.000,1.0,X=420711.499 Y=367859.944 Z=3285.181,
2023.10.14-15.48.44.920,X=420676.846 Y=369009.096 Z=2402.967,X=0.013 Y=-0.772 Z=0.635,X=0.000 Y=0.000 Z=0.000,1.0,X=420708.235 Y=367861.034 Z=3289.851,
2023.10.14-15.48.44.966,X=420676.809 Y=369009.160 Z=2402.960,X=0.011 Y=-0.770 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420706.142 Y=367862.262 Z=3295.118,
2023.10.14-15.48.45.013,X=420676.779 Y=369009.210 Z=2402.967,X=0.013 Y=-0.768 Z=0.641,X=0.000 Y=0.000 Z=0.000,1.0,X=420708.289 Y=367863.582 Z=3300.776,
2023.10.14-15.48.45.059,X=420676.749 Y=369009.266 Z=2402.975,X=0.011 Y=-0.767 Z=0.642,X=0.000 Y=0.000 Z=0.000,1.0,X=420705.865 Y=367864.243 Z=3303.608,
2023.10.14-15.48.45.107,X=420676.726 Y=369009.301 Z=2402.974,X=0.010 Y=-0.765 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420705.363 Y=367865.217 Z=3307.782,
2023.10.14-15.48.45.150,X=420676.715 Y=369009.345 Z=2402.977,X=0.011 Y=-0.763 Z=0.646,X=0.000 Y=0.000 Z=0.000,1.0,X=420706.740 Y=367866.139 Z=3311.733,
2023.10.14-15.48.45.193,X=420676.708 Y=369009.374 Z=2402.979,X=0.013 Y=-0.761 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420709.301 Y=367867.167 Z=3316.143,
2023.10.14-15.48.45.239,X=420676.698 Y=369009.445 Z=2403.015,X=0.014 Y=-0.759 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420711.120 Y=367868.377 Z=3321.327,
2023.10.14-15.48.45.286,X=420676.679 Y=369009.485 Z=2403.013,X=0.018 Y=-0.760 Z=0.650,X=0.000 Y=0.000 Z=0.000,1.0,X=420716.496 Y=367867.839 Z=3319.021,
2023.10.14-15.48.45.331,X=420676.672 Y=369009.516 Z=2403.008,X=0.024 Y=-0.765 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420723.985 Y=367865.195 Z=3307.690,
2023.10.14-15.48.45.376,X=420676.651 Y=369009.549 Z=2403.010,X=0.028 Y=-0.768 Z=0.640,X=0.000 Y=0.000 Z=0.000,1.0,X=420730.534 Y=367863.513 Z=3300.480,
2023.10.14-15.48.45.423,X=420676.632 Y=369009.568 Z=2403.006,X=0.029 Y=-0.769 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420731.445 Y=367862.499 Z=3296.134,
2023.10.14-15.48.45.472,X=420676.601 Y=369009.582 Z=2403.005,X=0.023 Y=-0.775 Z=0.632,X=0.000 Y=0.000 Z=0.000,1.0,X=420723.107 Y=367859.562 Z=3283.545,
