Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.33.978,X=420674.449 Y=369009.592 Z=2402.682,X=-0.264 Y=-0.742 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420306.667 Y=367862.769 Z=3297.289,
2023.10.14-15.48.34.027,X=420674.228 Y=369009.762 Z=2402.670,X=-0.271 Y=-0.740 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420296.815 Y=367862.835 Z=3297.571,
2023.10.14-15.48.34.077,X=420674.040 Y=369009.929 Z=2402.662,X=-0.274 Y=-0.741 Z=0.613,X=0.000 Y=0.000 Z=0.000,1.0,X=420292.284 Y=367862.082 Z=3294.347,
2023.10.14-15.48.34.128,X=420673.907 Y=369010.141 Z=2402.689,X=-0.276 Y=-0.742 Z=0.611,X=0.000 Y=0.000 Z=0.000,1.0,X=420289.514 Y=367861.357 Z=3291.238,
2023.10.14-15.48.34.178,X=420673.705 Y=369010.433 Z=2402.726,X=-0.278 Y=-0.737 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420284.886 Y=367863.792 Z=3301.675,
2023.10.14-15.48.34.228,X=420673.581 Y=369010.603 Z=2402.742,X=-0.278 Y=-0.736 Z=0.617,X=0.000 Y=0.000 Z=0.000,1.0,X=420283.438 Y=367864.465 Z=3304.558,
2023.10.14-15.48.34.278,X=420673.448 Y=369010.770 Z=2402.770,X=-0.278 Y=-0.736 Z=0.617,X=0.000 Y=0.000 Z=0.000,1.0,X=420284.516 Y=367864.445 Z=3303.443,
2023.10.14-15.48.34.328,X=420673.367 Y=369010.848 Z=2402.772,X=-0.276 Y=-0.737 Z=0.617,X=0.000 Y=0.000 Z=0.000,1.0,X=420286.921 Y=367864.247 Z=3303.627,
2023.10.14-15.48.34.375,X=420673.296 Y=369010.898 Z=2402.775,X=-0.274 Y=-0.739 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420291.014 Y=367863.088 Z=3298.655,
2023.10.14-15.48.34.420,X=420673.261 Y=369010.948 Z=2402.793,X=-0.270 Y=-0.741 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420297.055 Y=367862.683 Z=3296.922,
2023.10.14-15.48.34.469,X=420673.218 Y=369010.991 Z=2402.804,X=-0.266 Y=-0.742 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420304.270 Y=367862.423 Z=3295.807,
2023.10.14-15.48.34.519,X=420673.168 Y=369011.068 Z=2402.817,X=-0.260 Y=-0.743 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420313.716 Y=367862.356 Z=3295.519,
2023.10.14-15.48.34.569,X=420673.109 Y=369011.153 Z=2402.829,X=-0.258 Y=-0.744 Z=0.617,X=0.000 Y=0.000 Z=0.000,1.0,X=420316.325 Y=367862.501 Z=3296.139,
2023.10.14-15.48.34.619,X=420673.074 Y=369011.253 Z=2402.837,X=-0.254 Y=-0.743 Z=0.619,X=0.000 Y=0.000 Z=0.000,1.0,X=420322.136 Y=367863.352 Z=3299.788,
2023.10.14-15.48.34.669,X=420673.016 Y=369011.350 Z=2402.841,X=-0.253 Y=-0.740 Z=0.623,X=0.000 Y=0.000 Z=0.000,1.0,X=420323.173 Y=367865.049 Z=3307.062,
2023.10.14-15.48.34.718,X=420672.964 Y=369011.470 Z=2402.851,X=-0.252 Y=-0.740 Z=0.624,X=0.000 Y=0.000 Z=0.000,1.0,X=420324.813 Y=367865.484 Z=3308.928,
2023.10.14-15.48.34.767,X=420672.907 Y=369011.555 Z=2402.852,X=-0.251 Y=-0.737 Z=0.628,X=0.000 Y=0.000 Z=0.000,1.0,X=420325.510 Y=367867.243 Z=3316.466,
2023.10.14-15.48.34.816,X=420672.852 Y=369011.639 Z=2402.799,X=-0.250 Y=-0.737 Z=0.628,X=0.000 Y=0.000 Z=0.000,1.0,X=420326.843 Y=367868.060 Z=3316.204,
2023.10.14-15.48.34.866,X=420672.795 Y=369011.731 Z=2402.802,X=-0.250 Y=-0.736 Z=0.629,X=0.000 Y=0.000 Z=0.000,1.0,X=420326.203 Y=367867.875 Z=3319.176,
2023.10.14-15.48.34.916,X=420672.748 Y=369011.823 Z=2402.812,X=-0.250 Y=-0.735 Z=0.630,X=0.000 Y=0.000 Z=0.000,1.0,X=420325.669 Y=367868.443 Z=3321.614,
2023.10.14-15.48.34.961,X=420672.695 Y=369011.907 Z=2402.818,X=-0.250 Y=-0.733 Z=0.633,X=0.000 Y=0.000 Z=0.000,1.0,X=420325.488 Y=367869.540 Z=3326.312,
2023.10.14-15.48.35.009,X=420672.638 Y=369011.975 Z=2402.821,X=-0.251 Y=-0.731 Z=0.634,X=0.000 Y=0.000 Z=0.000,1.0,X=420323.000 Y=367870.530 Z=3330.558,
2023.10.14-15.48.35.050,X=420672.592 Y=369012.010 Z=2402.829,X=-0.252 Y=-0.727 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420320.817 Y=367872.571 Z=3339.305,
2023.10.14-15.48.35.099,X=420672.555 Y=369012.034 Z=2402.840,X=-0.252 Y=-0.727 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420321.451 Y=367873.597 Z=3338.389,
