Time,PlayerLocation,PlaterRotation,
2023.10.14-15.46.55.064,X=400720.802 Y=371173.389 Z=1414.941,P=-0.457818 Y=8.453026 R=2.858916,
2023.10.14-15.46.55.126,X=400720.802 Y=371173.389 Z=1414.941,P=-0.264468 Y=8.080513 R=2.971190,
2023.10.14-15.46.55.184,X=400720.802 Y=371173.389 Z=1414.941,P=-0.192374 Y=7.611243 R=2.982991,
2023.10.14-15.46.55.248,X=400720.802 Y=371173.389 Z=1414.941,P=0.033631 Y=6.944588 R=2.981988,
2023.10.14-15.46.55.309,X=400720.802 Y=371173.389 Z=1414.941,P=0.655018 Y=6.200599 R=2.919630,
2023.10.14-15.46.55.368,X=400720.802 Y=371173.389 Z=1414.941,P=1.295386 Y=5.258581 R=2.979825,
2023.10.14-15.46.55.431,X=400720.802 Y=371173.389 Z=1414.941,P=2.547391 Y=3.538305 R=2.955789,
2023.10.14-15.46.55.491,X=400720.802 Y=371173.389 Z=1414.941,P=3.672814 Y=2.005196 R=2.930933,
2023.10.14-15.46.55.553,X=400720.802 Y=371173.389 Z=1414.941,P=4.546941 Y=0.574741 R=3.129649,
2023.10.14-15.46.55.614,X=400720.802 Y=371173.389 Z=1414.941,P=5.279461 Y=-0.369738 R=3.301572,
2023.10.14-15.46.55.674,X=400720.802 Y=371173.389 Z=1414.941,P=5.866714 Y=-0.953987 R=3.372875,
2023.10.14-15.46.55.735,X=400720.802 Y=371173.389 Z=1414.941,P=6.655876 Y=-1.308447 R=3.258404,
2023.10.14-15.46.55.792,X=400720.802 Y=371173.389 Z=1414.941,P=6.990864 Y=-1.734149 R=3.246347,
2023.10.14-15.46.55.844,X=400720.802 Y=371173.389 Z=1414.941,P=6.800829 Y=-2.159898 R=3.244156,
2023.10.14-15.46.55.901,X=400720.802 Y=371173.389 Z=1414.941,P=6.387139 Y=-2.547987 R=3.174866,
2023.10.14-15.46.55.959,X=400720.802 Y=371173.389 Z=1414.941,P=6.077870 Y=-2.955240 R=3.221022,
2023.10.14-15.46.56.018,X=400720.802 Y=371173.389 Z=1414.941,P=5.967959 Y=-3.342149 R=3.227887,
2023.10.14-15.46.56.076,X=400720.802 Y=371173.389 Z=1414.941,P=5.988133 Y=-3.682104 R=3.295301,
2023.10.14-15.46.56.377,X=400720.802 Y=371173.389 Z=1414.941,P=5.909709 Y=-4.307650 R=3.150816,
2023.10.14-15.46.56.384,X=400720.802 Y=371173.389 Z=1414.941,P=4.530881 Y=-4.782645 R=2.981418,
2023.10.14-15.46.56.416,X=400720.802 Y=371173.389 Z=1414.941,P=3.907551 Y=-4.692794 R=2.906397,
2023.10.14-15.46.56.491,X=400720.802 Y=371173.389 Z=1414.941,P=1.988335 Y=-3.917764 R=2.703849,
2023.10.14-15.46.56.552,X=400720.802 Y=371173.389 Z=1414.941,P=0.641002 Y=-2.938710 R=2.641984,
2023.10.14-15.46.56.613,X=400720.802 Y=371173.389 Z=1414.941,P=-0.754867 Y=-2.045425 R=2.746947,
2023.10.14-15.46.56.674,X=400720.802 Y=371173.389 Z=1414.941,P=-1.147858 Y=-1.571288 R=2.832236,
2023.10.14-15.46.56.733,X=400720.802 Y=371173.389 Z=1414.941,P=-1.250119 Y=-1.349207 R=2.939157,
2023.10.14-15.46.56.795,X=400720.802 Y=371173.389 Z=1414.941,P=-1.261058 Y=-1.338724 R=2.974421,
2023.10.14-15.46.56.848,X=400720.802 Y=371173.389 Z=1414.941,P=-1.072361 Y=-1.378087 R=2.896435,
2023.10.14-15.46.56.889,X=400720.802 Y=371173.389 Z=1414.941,P=-0.919627 Y=-1.408857 R=2.819692,
2023.10.14-15.46.56.941,X=400720.802 Y=371173.389 Z=1414.941,P=-0.917565 Y=-1.193524 R=2.758745,
2023.10.14-15.46.57.001,X=400720.802 Y=371173.389 Z=1414.941,P=-0.802405 Y=-0.595496 R=2.656212,
2023.10.14-15.46.57.062,X=400720.802 Y=371173.389 Z=1414.941,P=-0.495147 Y=0.251772 R=2.494465,
2023.10.14-15.46.57.121,X=400720.802 Y=371173.389 Z=1414.941,P=-0.325314 Y=1.412520 R=2.294896,
2023.10.14-15.46.57.181,X=400720.802 Y=371173.389 Z=1414.941,P=-0.044705 Y=2.934024 R=2.189293,
2023.10.14-15.46.57.243,X=400720.802 Y=371173.389 Z=1414.941,P=0.319841 Y=4.513922 R=1.961195,
2023.10.14-15.46.57.303,X=400720.802 Y=371173.389 Z=1414.941,P=0.614378 Y=6.083905 R=1.869775,
2023.10.14-15.46.57.364,X=400720.802 Y=371173.389 Z=1414.941,P=1.126420 Y=7.439539 R=1.919825,
2023.10.14-15.46.57.427,X=400720.802 Y=371173.389 Z=1414.941,P=1.480541 Y=8.592897 R=2.050776,
2023.10.14-15.46.57.488,X=400720.802 Y=371173.389 Z=1414.941,P=1.666888 Y=9.328921 R=2.141870,
2023.10.14-15.46.57.551,X=400720.802 Y=371173.389 Z=1414.941,P=1.954942 Y=9.818189 R=2.181913,
2023.10.14-15.46.57.611,X=400720.802 Y=371173.389 Z=1414.941,P=2.053624 Y=10.200981 R=2.210589,
2023.10.14-15.46.57.672,X=400720.802 Y=371173.389 Z=1414.941,P=2.350963 Y=10.791004 R=2.192733,
2023.10.14-15.46.57.725,X=400720.802 Y=371173.389 Z=1414.941,P=2.565527 Y=11.422285 R=2.187265,
2023.10.14-15.46.57.786,X=400720.802 Y=371173.389 Z=1414.941,P=2.699119 Y=12.246059 R=2.043198,
2023.10.14-15.46.57.848,X=400723.979 Y=371174.079 Z=1414.941,P=2.797330 Y=12.987804 R=1.732343,
2023.10.14-15.46.57.912,X=400732.758 Y=371176.488 Z=1414.941,P=2.852058 Y=13.669904 R=1.597794,
2023.10.14-15.46.57.974,X=400748.170 Y=371181.089 Z=1414.941,P=2.825818 Y=14.284528 R=1.441852,
2023.10.14-15.46.58.036,X=400770.621 Y=371188.213 Z=1414.941,P=2.892806 Y=14.694998 R=1.286304,
2023.10.14-15.46.58.097,X=400800.126 Y=371197.947 Z=1414.941,P=2.778629 Y=14.846550 R=1.202937,
